,CDU2KEROFL
2016-01-08 7:00,40
2016-01-09 7:00,38.5
2016-01-10 9:00,41
2016-01-11 7:00,38.5
2016-01-11 18:30,44
2016-01-12 7:00,43
2016-01-13 7:00,40.5
2016-01-14 7:00,46
2016-01-15 7:00,45
2016-01-15 14:00,54
2016-01-16 7:00,52.5
2016-01-17 7:00,51
2016-01-18 7:00,50
2016-01-18 11:00,44
2016-01-19 7:00,47.5
2016-01-20 7:00,42.5
2016-01-20 22:00,46
2016-01-21 7:00,38
2016-01-22 7:00,36
2016-01-23 7:00,36
2016-01-24 14:00,36
2016-01-25 7:00,34.5
2016-01-26 11:00,39
2016-01-26 19:00,64
2016-01-27 7:00,66
2016-01-28 7:00,64
2016-01-28 22:00,66
2016-01-29 7:00,65
2016-01-30 7:00,63
